time_of_day,time_sec,phase_id,time_in_phase,queue_NS,queue_EW,avg_speed_NS,avg_speed_EW,ped_wait_NS,ped_wait_EW,emergency_request,v2x_msg_rate,label
07:00:00,0,1,0,0,3,70.0,5.6,0.0,0.0,0,5,normal
07:00:01,1,1,1,0,4,70.0,5.8,0.0,0.0,0,2,normal
07:00:02,2,1,2,0,6,70.0,6.2,0.0,0.0,0,4,normal
07:00:03,3,1,3,0,7,70.0,6.4,0.0,0.0,0,8,normal
07:00:04,4,1,4,0,11,70.0,7.2,0.0,0.0,0,9,normal
07:00:05,5,1,5,0,13,70.0,7.6,0.0,0.0,0,11,normal
07:00:06,6,1,6,0,13,70.0,7.6,0.0,0.0,0,14,normal
07:00:07,7,1,7,0,15,70.0,8.0,0.0,0.0,0,8,normal
07:00:08,8,1,8,0,16,70.0,8.2,0.0,0.0,0,4,normal
07:00:09,9,1,9,0,17,70.0,8.4,0.0,1.0,0,7,normal
07:00:10,10,1,10,0,18,70.0,8.6,0.0,1.0,0,9,normal
07:00:11,11,1,11,0,18,70.0,8.6,0.0,1.0,0,11,normal
07:00:12,12,1,12,0,19,70.0,8.8,1.0,1.0,0,13,normal
07:00:13,13,1,13,0,21,70.0,9.2,0.0,2.0,0,14,normal
07:00:14,14,1,14,0,21,70.0,9.2,0.0,2.0,0,6,normal
07:00:15,15,1,15,0,21,70.0,9.2,0.0,2.0,0,9,normal
07:00:16,16,1,16,0,22,70.0,9.4,0.0,2.0,0,15,normal
07:00:17,17,1,17,0,22,70.0,9.4,0.0,3.0,0,8,normal
07:00:18,18,1,18,0,22,70.0,9.4,0.0,3.0,0,18,normal
07:00:19,19,1,19,0,24,70.0,9.8,0.0,3.0,0,8,normal
07:00:20,20,1,20,0,27,70.0,10.4,0.0,3.0,0,18,normal
07:00:21,21,1,21,0,27,70.0,10.4,0.0,3.0,0,16,normal
07:00:22,22,1,22,0,28,70.0,10.6,0.0,3.0,0,9,normal
07:00:23,23,1,23,0,29,70.0,10.8,0.0,3.0,0,17,normal
07:00:24,24,1,24,0,31,70.0,11.2,0.0,4.0,0,21,normal
07:00:25,25,1,25,0,33,70.0,11.6,0.0,4.0,0,17,normal
07:00:26,26,1,26,0,37,70.0,12.4,0.0,5.0,0,23,normal
07:00:27,27,1,27,0,37,70.0,12.4,0.0,5.0,0,30,normal
07:00:28,28,1,28,0,37,70.0,12.4,0.0,5.0,0,13,normal
07:00:29,29,1,29,0,38,70.0,12.6,0.0,6.0,0,25,normal
07:00:30,30,1,30,0,40,70.0,13.0,0.0,6.0,0,28,normal
07:00:31,31,1,31,0,40,70.0,13.0,0.0,7.0,0,30,normal
07:00:32,32,1,32,0,42,70.0,13.4,0.0,7.0,0,18,normal
07:00:33,33,1,33,0,43,70.0,13.6,0.0,8.0,0,14,normal
07:00:34,34,2,0,0,44,70.0,13.8,0.0,8.0,0,13,normal
07:00:35,35,2,1,0,45,70.0,14.0,0.0,8.0,0,38,normal
07:00:36,36,2,2,0,47,70.0,14.4,0.0,8.0,0,19,normal
07:00:37,37,2,3,0,49,70.0,14.8,0.0,8.0,0,15,normal
07:00:38,38,2,4,0,49,70.0,14.8,0.0,9.0,0,37,normal
07:00:39,39,2,5,0,49,70.0,14.8,0.0,9.0,0,32,normal
07:00:40,40,2,6,0,51,70.0,15.2,0.0,9.0,0,26,normal
07:00:41,41,2,7,0,51,70.0,15.2,0.0,9.0,0,25,normal
07:00:42,42,2,8,0,52,70.0,15.4,0.0,9.0,0,40,normal
07:00:43,43,2,9,0,52,70.0,15.4,0.0,9.0,0,18,normal
07:00:44,44,2,10,0,53,70.0,15.6,0.0,9.0,0,17,normal
07:00:45,45,2,11,0,53,70.0,15.6,0.0,9.0,0,22,normal
07:00:46,46,2,12,0,53,70.0,15.6,0.0,9.0,0,39,normal
07:00:47,47,3,0,2,49,5.4,30.79998257176088,0.0,7.0,0,28,normal
07:00:48,48,3,1,2,42,5.4,36.39996514994704,0.0,6.0,0,31,normal
07:00:49,49,3,2,2,37,5.4,40.39994773455551,0.0,6.0,0,33,normal
07:00:50,50,3,3,4,32,5.8,44.39993032558334,0.0,4.0,0,20,normal
07:00:51,51,3,4,5,27,6.0,48.39991292302756,0.0,4.0,0,22,normal
07:00:52,52,3,5,5,21,6.0,53.199895526885214,0.0,4.0,0,16,normal
07:00:53,53,3,6,5,16,6.0,57.19987813715333,0.0,4.0,0,6,normal
07:00:54,54,3,7,6,9,6.2,62.79986075382896,0.0,2.0,0,10,normal
07:00:55,55,3,8,7,2,6.4,68.39984337690915,0.0,2.0,0,4,normal
07:00:56,56,3,9,7,0,6.4,70.0,0.0,0.0,0,5,normal
07:00:57,57,3,10,8,0,6.6,70.0,0.0,0.0,0,8,normal
07:00:58,58,3,11,9,0,6.8,70.0,0.0,0.0,0,7,normal
07:00:59,59,3,12,9,0,6.8,70.0,0.0,0.0,0,4,normal
07:01:00,60,3,13,10,0,7.0,70.0,0.0,0.0,0,6,normal
07:01:01,61,3,14,12,0,7.4,70.0,0.0,0.0,0,10,normal
07:01:02,62,3,15,14,0,7.800000000000001,70.0,1.0,0.0,0,4,normal
07:01:03,63,3,16,17,0,8.4,70.0,2.0,0.0,0,7,normal
07:01:04,64,3,17,17,0,8.4,70.0,2.0,0.0,0,13,normal
07:01:05,65,3,18,18,0,8.6,70.0,2.0,0.0,0,9,normal
07:01:06,66,3,19,19,0,8.8,70.0,2.0,0.0,0,11,normal
07:01:07,67,3,20,21,0,9.2,70.0,2.0,0.0,0,8,normal
07:01:08,68,3,21,21,0,9.2,70.0,2.0,0.0,0,9,normal
07:01:09,69,3,22,21,0,9.2,70.0,2.0,0.0,0,5,normal
07:01:10,70,3,23,21,0,9.2,70.0,3.0,0.0,0,7,normal
07:01:11,71,3,24,21,0,9.2,70.0,3.0,0.0,0,14,normal
07:01:12,72,3,25,23,0,9.6,70.0,3.0,0.0,0,7,normal
07:01:13,73,3,26,23,0,9.6,70.0,3.0,0.0,0,14,normal
07:01:14,74,3,27,23,0,9.6,70.0,3.0,0.0,0,8,normal
07:01:15,75,3,28,25,0,10.0,70.0,3.0,0.0,0,19,normal
07:01:16,76,3,29,26,0,10.2,70.0,3.0,0.0,0,11,normal
07:01:17,77,3,30,27,0,10.4,70.0,3.0,0.0,0,14,normal
07:01:18,78,3,31,27,0,10.4,70.0,3.0,0.0,0,10,normal
07:01:19,79,3,32,28,0,10.6,70.0,4.0,0.0,0,13,normal
07:01:20,80,3,33,28,0,10.6,70.0,4.0,0.0,0,9,normal
07:01:21,81,4,0,28,0,10.6,70.0,4.0,0.0,0,20,normal
07:01:22,82,4,1,31,0,11.2,70.0,4.0,0.0,0,12,normal
07:01:23,83,4,2,32,0,11.4,70.0,4.0,0.0,0,22,normal
07:01:24,84,4,3,32,0,11.4,70.0,4.0,0.0,0,19,normal
07:01:25,85,4,4,32,0,11.4,70.0,6.0,0.0,0,21,normal
07:01:26,86,4,5,32,0,11.4,70.0,6.0,0.0,0,19,normal
07:01:27,87,4,6,33,0,11.6,70.0,7.0,0.0,0,16,normal
07:01:28,88,4,7,34,0,11.8,70.0,7.0,0.0,0,23,normal
07:01:29,89,4,8,35,0,12.0,70.0,7.0,0.0,0,22,normal
07:01:30,90,4,9,35,0,12.0,70.0,7.0,0.0,0,16,normal
07:01:31,91,4,10,37,0,12.4,70.0,7.0,0.0,0,19,normal
07:01:32,92,4,11,39,0,12.8,70.0,7.0,0.0,0,18,normal
07:01:33,93,4,12,40,0,13.0,70.0,7.0,0.0,0,24,normal
07:01:34,94,4,13,40,0,13.0,70.0,7.0,0.0,0,11,normal
07:01:35,95,4,14,40,0,13.0,70.0,7.0,0.0,0,22,normal
07:01:36,96,4,15,40,0,13.0,70.0,7.0,0.0,0,28,normal
07:01:37,97,4,16,41,0,13.2,70.0,7.0,0.0,0,34,normal
07:01:38,98,0,0,42,0,8.798874478884827,8.337762637249881,8.0,0.0,0,32,normal
07:01:39,99,0,1,43,2,5.972116094624912,6.61735649461256,8.0,0.0,0,38,normal
07:01:40,100,0,2,45,3,6.710716640284415,9.118848637905622,8.0,1.0,0,15,normal
07:01:41,101,0,3,45,3,8.59792733792553,6.4321729709586215,8.0,1.0,0,40,normal
07:01:42,102,0,4,45,3,8.406605608427348,9.698190422970765,8.0,1.0,0,30,normal
07:01:43,103,0,5,46,3,7.831619854876084,9.090389101779786,8.0,1.0,0,41,normal
07:01:44,104,1,0,41,4,37.19998293331281,5.8,8.0,2.0,0,18,normal
07:01:45,105,1,1,35,5,41.99996587288428,6.0,8.0,3.0,0,24,normal
07:01:46,106,1,2,29,5,46.79994881871149,6.0,8.0,3.0,0,20,normal
07:01:47,107,1,3,23,5,51.59993177079159,6.0,8.0,3.0,0,18,normal
07:01:48,108,1,4,19,5,54.79991472912171,6.0,7.0,3.0,0,12,normal
07:01:49,109,1,5,14,6,58.79989769369895,6.2,5.0,3.0,0,16,normal
07:01:50,110,1,6,8,8,63.599880664520455,6.6,5.0,3.0,0,12,normal
07:01:51,111,1,7,2,12,68.39986364158335,7.4,4.0,3.0,0,4,normal
07:01:52,112,1,8,0,13,70.0,7.6,4.0,3.0,0,7,normal
07:01:53,113,1,9,0,15,70.0,8.0,3.0,4.0,0,4,normal
07:01:54,114,1,10,0,17,70.0,8.4,2.0,4.0,0,6,normal
07:01:55,115,1,11,0,18,70.0,8.6,2.0,4.0,0,15,normal
07:01:56,116,1,12,0,20,70.0,9.0,2.0,4.0,0,10,normal
07:01:57,117,1,13,0,22,70.0,9.4,0.0,4.0,0,9,normal
07:01:58,118,1,14,0,22,70.0,9.4,0.0,4.0,0,18,normal
07:01:59,119,1,15,0,24,70.0,9.8,0.0,5.0,0,15,normal
07:02:00,120,1,16,0,26,70.0,10.2,0.0,5.0,0,10,normal
07:02:01,121,1,17,0,26,70.0,10.2,0.0,5.0,0,17,normal
07:02:02,122,1,18,0,28,70.0,10.6,0.0,5.0,0,19,normal
07:02:03,123,1,19,0,29,70.0,10.8,0.0,5.0,0,18,normal
07:02:04,124,1,20,0,29,70.0,10.8,1.0,5.0,0,9,normal
07:02:05,125,1,21,0,31,70.0,11.2,1.0,5.0,0,11,normal
07:02:06,126,1,22,0,31,70.0,11.2,2.0,5.0,0,21,normal
07:02:07,127,1,23,0,34,70.0,11.8,0.0,5.0,0,14,normal
07:02:08,128,1,24,0,34,70.0,11.8,0.0,6.0,0,15,normal
07:02:09,129,1,25,0,36,70.0,12.2,0.0,7.0,0,18,normal
07:02:10,130,1,26,0,36,70.0,12.2,0.0,7.0,0,27,normal
07:02:11,131,1,27,0,38,70.0,12.6,0.0,7.0,0,20,normal
07:02:12,132,1,28,0,41,70.0,13.2,0.0,7.0,0,31,normal
07:02:13,133,1,29,0,43,70.0,13.6,0.0,7.0,0,17,normal
07:02:14,134,1,30,0,43,70.0,13.6,0.0,8.0,0,33,normal
07:02:15,135,1,31,0,46,70.0,14.2,0.0,8.0,0,28,normal
07:02:16,136,1,32,0,49,70.0,14.8,0.0,8.0,0,31,normal
07:02:17,137,1,33,0,49,70.0,14.8,0.0,8.0,0,36,normal
07:02:18,138,1,34,0,49,70.0,14.8,0.0,8.0,0,27,normal
07:02:19,139,1,35,0,49,70.0,14.8,0.0,9.0,0,28,normal
07:02:20,140,1,36,0,52,70.0,15.4,0.0,9.0,0,40,normal
07:02:21,141,2,0,0,54,70.0,15.8,0.0,9.0,0,23,normal
07:02:22,142,2,1,0,55,70.0,16.0,0.0,9.0,0,15,normal
07:02:23,143,2,2,0,56,70.0,16.200000000000003,0.0,9.0,0,30,normal
07:02:24,144,2,3,0,57,70.0,16.4,0.0,9.0,0,43,normal
07:02:25,145,2,4,0,58,70.0,16.6,0.0,9.0,0,29,normal
07:02:26,146,2,5,0,59,70.0,16.799999999999997,0.0,9.0,0,18,normal
07:02:27,147,2,6,0,59,70.0,16.799999999999997,0.0,9.0,0,28,normal
07:02:28,148,2,7,0,60,70.0,17.0,0.0,9.0,0,25,normal
07:02:29,149,2,8,0,61,70.0,17.2,0.0,9.0,0,20,normal
07:02:30,150,2,9,0,61,70.0,17.2,0.0,9.0,0,29,normal
07:02:31,151,2,10,0,63,70.0,17.6,0.0,10.0,0,21,normal
07:02:32,152,2,11,0,63,70.0,17.6,0.0,10.0,0,30,normal
07:02:33,153,2,12,0,66,70.0,18.200000000000003,0.0,11.0,0,50,normal
07:02:34,154,2,13,0,66,70.0,18.200000000000003,0.0,11.0,0,45,normal
07:02:35,155,2,14,0,67,70.0,18.4,0.0,11.0,0,46,normal
07:02:36,156,2,15,0,69,70.0,18.8,0.0,12.0,0,48,normal
07:02:37,157,2,16,0,72,70.0,19.4,0.0,12.0,0,21,normal
07:02:38,158,2,17,0,73,70.0,19.6,0.0,12.0,0,32,normal
07:02:39,159,3,0,1,67,5.2,30.0,0.0,11.0,0,26,normal
07:02:40,160,3,1,2,63,5.4,30.0,1.0,9.0,0,23,normal
07:02:41,161,3,2,2,58,5.4,30.0,2.0,9.0,0,44,normal
07:02:42,162,3,3,3,52,5.6,30.0,2.0,8.0,0,16,normal
07:02:43,163,3,4,3,48,5.6,31.59991642749671,2.0,6.0,0,41,normal
07:02:44,164,3,5,6,43,6.2,35.59989973128095,3.0,4.0,0,23,normal
07:02:45,165,3,6,7,36,6.4,41.19988304115363,3.0,2.0,0,33,normal
07:02:46,166,3,7,7,29,6.4,46.799866357111966,3.0,1.0,0,13,normal
07:02:47,167,3,8,8,23,6.6,51.59984967915317,3.0,0.0,0,11,normal
07:02:48,168,3,9,9,17,6.8,56.39983300727444,3.0,0.0,0,20,normal
07:02:49,169,3,10,10,13,7.0,59.599816341472994,3.0,0.0,0,22,normal
07:02:50,170,3,11,12,10,7.4,61.99979968174604,4.0,0.0,0,13,normal
07:02:51,171,3,12,12,3,7.4,67.5997830280908,4.0,0.0,0,12,normal
07:02:52,172,3,13,12,0,7.4,70.0,6.0,0.0,0,5,normal
07:02:53,173,3,14,12,0,7.4,70.0,6.0,0.0,0,12,normal
07:02:54,174,3,15,12,0,7.4,70.0,6.0,0.0,0,5,normal
07:02:55,175,3,16,13,0,7.6,70.0,6.0,0.0,0,9,normal
07:02:56,176,3,17,13,0,7.6,70.0,6.0,0.0,0,9,normal
07:02:57,177,3,18,13,0,7.6,70.0,6.0,0.0,0,5,normal
07:02:58,178,3,19,13,0,7.6,70.0,7.0,0.0,0,7,normal
07:02:59,179,3,20,14,0,7.800000000000001,70.0,7.0,0.0,0,14,normal
07:03:00,180,3,21,14,0,7.800000000000001,70.0,7.0,0.0,0,8,normal
07:03:01,181,3,22,15,0,8.0,70.0,7.0,0.0,0,14,normal
07:03:02,182,3,23,15,0,8.0,70.0,7.0,0.0,0,6,normal
07:03:03,183,3,24,15,0,8.0,70.0,7.0,0.0,0,7,normal
07:03:04,184,3,25,16,0,8.2,70.0,7.0,0.0,0,9,normal
07:03:05,185,3,26,16,0,8.2,70.0,7.0,0.0,0,13,normal
07:03:06,186,3,27,19,0,8.8,70.0,7.0,0.0,0,14,normal
07:03:07,187,3,28,19,0,8.8,70.0,7.0,0.0,0,8,normal
07:03:08,188,3,29,20,0,9.0,70.0,7.0,0.0,0,17,normal
07:03:09,189,3,30,20,0,9.0,70.0,8.0,0.0,0,17,normal
07:03:10,190,3,31,20,0,9.0,70.0,8.0,0.0,0,10,normal
07:03:11,191,3,32,20,0,9.0,70.0,9.0,0.0,0,9,normal
07:03:12,192,3,33,21,0,9.2,70.0,10.0,0.0,0,14,normal
07:03:13,193,3,34,21,0,9.2,70.0,10.0,0.0,0,11,normal
07:03:14,194,3,35,25,0,10.0,70.0,10.0,0.0,0,14,normal
07:03:15,195,3,36,25,0,10.0,70.0,10.0,0.0,0,18,normal
07:03:16,196,3,37,25,0,10.0,70.0,10.0,0.0,0,17,normal
07:03:17,197,3,38,26,0,10.2,70.0,10.0,0.0,0,8,normal
07:03:18,198,4,0,27,0,10.4,70.0,10.0,0.0,0,14,normal
